Country,1900,1910,1920,1930,1940
Azerbaijan,7,6,5,3,3
Russia,2,10,8,9,6
Albania,8,10,1,5,1
China,5,7,5,4,5
Bolivia,9,8,1,2,5
Indonesia,8,1,8,9,4
Japan,9,3,7,5,4
China,5,5,5,6,7
Burkina Faso,8,2,1,1,1
Ireland,6,3,7,1,1
Argentina,6,8,4,6,3
United Kingdom,10,7,7,5,9
Indonesia,10,3,9,9,8
Ukraine,6,2,4,6,2
Russia,5,1,5,10,5
Philippines,7,5,6,6,5
Indonesia,7,3,1,10,10
Yemen,4,5,2,7,6
Indonesia,3,1,3,9,7
Japan,5,4,10,10,10
Bangladesh,3,2,9,5,9
Philippines,6,2,10,7,10
China,7,1,10,4,10
China,2,10,3,8,4
Indonesia,2,3,4,8,3
Poland,1,4,3,7,3
France,8,1,6,4,6
France,4,3,6,10,1
Ukraine,2,10,7,5,5
China,5,3,1,10,9
Saudi Arabia,10,5,2,1,5
Indonesia,8,3,6,2,1
China,5,3,4,5,7
Tunisia,8,6,8,10,6
Iran,9,6,10,6,6
Finland,7,1,9,9,10
Indonesia,8,10,4,8,8
Albania,1,6,9,2,2
Philippines,9,6,8,6,4
Panama,5,7,1,7,2
Philippines,7,1,4,5,5
Mexico,9,9,1,9,1
United States,4,4,10,7,6
Czech Republic,3,7,2,10,3
Russia,3,6,7,5,8
Indonesia,8,1,8,5,1
Canada,10,3,6,5,7
Indonesia,5,4,5,10,7
Yemen,3,1,6,5,10
Myanmar,4,10,8,10,6
Thailand,5,5,5,5,10
Portugal,7,5,1,3,8
China,4,7,5,9,8
Russia,5,3,4,1,3
Palestinian Territory,7,7,4,6,10
China,5,4,2,1,4
Bangladesh,10,9,4,5,2
Brazil,7,3,8,10,10
Japan,5,3,8,2,6
Brazil,10,5,6,9,8
China,7,2,2,3,1
North Korea,5,1,1,8,5
Peru,6,10,8,8,3
Poland,6,2,7,7,6
Tanzania,9,5,4,1,5
Japan,5,10,10,9,3
Indonesia,5,5,7,9,4
China,3,8,8,10,2
United States,5,5,3,4,9
Indonesia,8,9,9,4,8
China,1,6,2,4,5
United States,2,8,9,9,9
Philippines,3,4,4,7,4
Ukraine,10,9,3,5,4
Bolivia,3,9,5,6,4
Japan,2,5,2,8,1
France,4,3,5,9,6
Japan,10,9,8,6,3
Ukraine,3,3,8,6,8
France,8,10,2,8,3
Philippines,7,4,2,4,10
Tajikistan,6,1,1,9,5
Philippines,1,7,5,2,3
Ukraine,3,10,4,1,5
United States,8,8,4,6,1
Indonesia,7,3,5,6,3
China,9,1,1,2,3
Indonesia,5,3,1,6,9
Indonesia,1,1,7,6,3
Brazil,7,9,7,9,10
Canada,4,10,10,7,8
United States,1,5,5,4,7
China,6,8,4,7,3
Poland,10,9,2,3,9
Indonesia,4,3,4,5,7
China,1,4,3,1,10
Japan,9,4,7,9,5
Brazil,5,9,4,4,7
Indonesia,8,10,7,7,3
Poland,3,5,9,5,1
Canada,6,6,5,10,1
Indonesia,8,7,4,2,5
Philippines,4,7,9,3,5
Russia,6,6,9,8,6
Philippines,4,4,1,9,4
Indonesia,1,5,9,1,1
Russia,9,3,6,2,2
China,7,6,5,4,5
Indonesia,7,5,6,4,8
Chile,5,2,3,5,7
Indonesia,1,10,3,8,9
France,10,3,2,4,7
China,8,8,6,3,4
Serbia,3,7,10,3,7
China,3,3,7,8,3
Indonesia,8,7,9,6,9
Equatorial Guinea,10,5,5,6,6
Sweden,3,9,3,1,5
China,7,6,9,5,1
Indonesia,9,8,6,4,9
Portugal,6,7,6,9,8
Austria,2,1,4,4,7
Indonesia,7,3,5,4,1
Uganda,9,7,8,7,10
Russia,7,8,6,10,8
China,2,8,5,9,6
Maldives,2,6,3,4,10
Syria,1,8,5,10,4
United States,4,3,3,2,10
Mongolia,2,10,10,5,9
Russia,2,3,10,5,10
Mongolia,1,4,10,10,3
Lithuania,7,7,7,2,5
Colombia,8,1,6,2,8
Brazil,2,1,6,3,7
Russia,2,5,4,7,9
Indonesia,10,5,2,10,6
Poland,7,4,1,10,6
Russia,9,8,10,7,1
Philippines,3,9,10,5,3
Indonesia,5,8,9,8,3
China,1,10,9,3,4
Russia,1,10,2,10,3
Russia,5,1,1,2,2
China,7,3,9,10,2
United States,4,7,4,5,4
Russia,3,9,5,8,7
Finland,3,5,3,2,5
Cuba,3,5,8,4,2
Reunion,5,3,5,7,4
Sri Lanka,3,2,9,1,9
Philippines,10,8,6,2,1
Russia,7,9,5,2,7
Brazil,3,4,2,1,5
Japan,6,4,5,3,2
Indonesia,7,3,8,3,7
China,5,5,10,1,1
Sweden,5,2,5,3,5
Nigeria,1,9,4,6,8
Israel,7,10,9,6,7
Russia,6,7,1,7,3
Honduras,7,4,3,8,6
China,7,6,2,2,8
Vietnam,10,2,4,3,9
Philippines,1,4,3,6,1
Ukraine,6,5,6,4,6
Indonesia,9,10,3,1,2
Poland,5,8,9,1,5
South Africa,3,5,10,6,9
China,5,5,9,9,6
Colombia,6,8,5,7,2
Brazil,5,7,10,5,1
Pakistan,1,8,8,9,3
Indonesia,2,9,7,4,4
Russia,1,10,8,10,5
United States,10,4,10,6,1
Mozambique,6,9,2,4,8
Indonesia,9,2,5,7,8
Saudi Arabia,8,1,5,4,4
Tanzania,7,3,8,5,9
Ecuador,3,5,5,5,7
Pakistan,5,10,6,4,8
Czech Republic,4,5,1,1,8
Uganda,5,4,1,2,5
Russia,2,3,10,4,1
Vietnam,2,6,4,2,10
Peru,8,1,4,5,3
France,7,7,4,2,5
Poland,2,10,10,1,10
Indonesia,2,4,6,5,10
Jordan,3,7,5,8,7
Argentina,10,6,7,1,10
Brazil,9,3,10,9,5
Russia,2,2,8,4,8
Ukraine,4,8,5,2,3
Brazil,8,1,8,3,5
Canada,4,4,3,9,4
Mexico,7,8,3,5,6
Argentina,8,1,3,4,5
Ukraine,3,8,10,8,8
Russia,5,10,7,4,10
Venezuela,1,5,3,3,3
Russia,6,1,1,4,4
Egypt,4,5,10,2,4
Cape Verde,5,2,2,9,9
Bulgaria,2,1,4,7,8
Bhutan,8,9,8,7,9
Indonesia,4,10,6,3,5
Portugal,6,8,9,1,5
Iran,7,8,1,9,2
Japan,4,3,6,1,7
United States,6,9,6,10,3
Lebanon,1,10,1,4,7
South Africa,7,5,2,6,3
China,3,10,7,10,9
Greece,9,10,4,1,8
