Year,Kenya,Uganda,Nigeria,Tanzania,Mozambique,Morocoo,Eritrea,Ethiopia,Madagasca,South Africa,Somalia,South Sudan,Rwanda,Burundi
29/11/1990,54,31,61,45,75,78,4,14,20,26,96,66,56,64
31/01/2015,93,81,14,70,74,85,77,46,3,11,1,99,71,49
04/10/2001,41,82,43,20,37,3,10,54,22,62,40,4,21,54
12/03/1992,42,93,52,95,76,73,35,82,43,88,10,64,20,96
01/04/2004,37,15,95,6,45,92,35,69,45,99,49,87,55,85
11/03/2005,2,10,69,73,4,63,3,63,39,21,81,80,54,92
24/09/2019,22,96,73,64,55,15,34,6,3,45,52,7,60,46
22/10/2006,33,17,36,59,97,89,43,16,99,61,38,25,79,86
09/06/2004,59,93,99,89,96,45,31,47,53,64,4,72,88,12
18/06/2009,47,33,9,83,11,74,40,85,99,45,5,27,81,76
02/03/2006,27,5,30,83,44,75,79,93,71,34,80,28,22,63
09/07/2013,37,92,26,98,1,40,52,72,95,56,39,36,15,66
08/06/1997,36,64,27,21,34,31,21,23,55,70,32,12,54,16
29/11/2004,26,71,73,38,33,76,8,94,52,33,14,49,10,6
10/01/2005,60,4,67,23,70,55,20,92,80,14,5,91,3,31
28/02/2007,15,14,43,81,8,75,99,83,83,96,43,51,31,50
08/07/2007,21,21,97,42,17,1,22,47,93,97,44,17,50,82
19/09/1992,98,64,14,12,74,96,42,85,12,20,91,75,42,84
27/11/2002,38,50,9,11,56,21,74,1,64,88,55,38,14,42
16/08/2014,65,41,80,34,33,26,32,10,96,2,25,82,100,80
17/12/2005,79,59,87,44,85,22,90,23,92,65,92,42,48,56
27/02/1991,62,41,36,67,53,2,41,5,30,17,96,98,90,47
27/08/1997,91,68,35,44,37,42,14,2,55,13,96,86,17,63
31/08/2016,59,22,28,93,56,52,98,22,97,46,60,59,25,96
19/02/2015,53,71,39,70,89,2,66,12,41,73,56,94,100,95
25/07/2018,80,7,29,55,4,91,83,40,66,92,56,15,80,81
21/04/2019,85,96,57,34,94,84,58,62,64,64,49,54,100,13
31/12/2007,51,68,95,82,30,66,27,28,33,31,45,16,96,60
18/10/1992,32,19,37,36,41,1,59,73,6,74,76,76,95,14
12/01/1995,60,75,27,15,53,21,42,78,17,98,87,47,63,17
24/04/2004,84,48,52,95,29,58,30,7,84,83,34,44,29,18
27/01/2018,49,87,19,53,97,63,63,3,52,16,98,19,33,16
13/11/1998,82,98,86,73,19,17,40,87,37,85,17,27,66,85
29/11/2008,78,8,59,64,23,39,87,83,82,42,91,50,76,90
22/08/1999,95,4,18,99,94,23,68,71,62,16,47,54,21,8
08/02/2000,55,32,76,22,98,9,65,64,93,42,77,3,83,58
02/09/2013,40,52,70,58,55,66,93,98,88,91,62,63,81,80
14/04/2017,60,47,16,52,61,64,6,66,86,75,51,52,57,21
19/08/2019,54,88,12,70,82,55,40,9,8,94,44,70,26,60
30/09/1991,100,56,71,22,4,82,1,71,40,68,100,43,49,36
17/11/2015,35,16,66,97,66,20,13,31,37,24,12,88,84,75
28/06/2015,61,31,14,51,16,51,91,93,2,80,9,17,93,54
07/12/2015,50,38,30,3,84,66,1,23,38,2,5,71,46,29
25/06/2003,79,82,23,52,18,15,34,11,100,44,58,91,95,83
14/03/1992,86,78,90,61,53,38,25,38,45,83,47,100,26,68
11/08/2019,23,34,40,78,54,63,89,86,34,29,53,67,29,94
10/12/1995,94,47,47,42,45,21,42,38,81,56,42,73,41,18
29/09/2011,73,60,99,50,16,30,66,78,61,3,70,64,57,36
31/10/2004,14,93,42,40,55,78,16,31,39,52,94,82,85,83
19/09/2015,48,60,70,12,14,4,4,76,92,82,37,98,17,62
25/04/2004,74,94,75,33,88,41,37,51,97,38,36,26,38,50
30/05/2000,33,58,81,33,62,85,10,85,84,15,38,69,97,49
09/09/2005,11,97,56,84,86,51,86,93,77,76,70,16,98,60
24/03/2007,39,51,2,10,48,26,12,70,27,46,87,56,31,38
